posID,gameID,screens,passes,type,result,contested,game_clock,quarter,shot_clock,xcoord,ycoord,def_xcoord,def_ycoord,distance,shooter
38,20171028,0,1,hq,to,NULL,,0,20,0,0,0,0,0,NULL
38,20171103,2,5,hq,to,NULL,,0,5,0,0,0,0,0,NULL
39,20170925,2,3,hq,to,NULL,,0,4,0,0,0,0,0,NULL
39,20171007,0,1,hq,make,med,,0,1,220,58,0,0,0,NULL
39,20171028,0,1,hq,make,high,,0,13,227,120,0,0,0,NULL
39,20171103,1,5,hq,to,NULL,,0,9,0,0,0,0,0,NULL
40,20170925,0,6,hq,to,NULL,,0,18,0,0,0,0,0,NULL
40,20171007,1,2,hq,miss,med,,0,13,254,94,0,0,0,NULL
40,20171028,1,4,hq,miss,high,,0,10,114,259,0,0,0,NULL
40,20171103,2,5,hq,to,NULL,,0,8,0,0,0,0,0,NULL
41,20170925,0,4,hq,miss,high,,0,11,264,75,271,63,13.8924,5
41,20171007,0,4,hq,make,none,,0,13,307,299,0,0,0,NULL
41,20171028,0,2,hq,to,NULL,,0,16,0,0,0,0,0,NULL
41,20171103,4,2,hq,miss,med,,0,18,183,298,0,0,0,10
42,20170925,2,2,hq,make,med,,0,2,29,173,60,156,35.3553,5
42,20171007,0,5,hq,miss,high,,0,3,314,75,0,0,0,NULL
42,20171028,1,1,hq,miss,high,,0,15,415,56,0,0,0,NULL
42,20171103,1,5,hq,miss,low,,0,7,284,119,0,0,0,20
43,20170925,0,3,hq,oreb,low,,0,17,42,190,65,169,31.1448,5
43,20171007,1,0,hq,make,high,,0,15,230,77,0,0,0,NULL
43,20171028,0,0,hq,make,high,,0,5,227,74,0,0,0,NULL
43,20171103,3,1,hq,oreb,med,,0,16,313,203,0,0,0,12
44,20170925,1,3,hq,foul,high,,0,4,202,194,207,181,13.9284,5
44,20171007,1,4,hq,oreb,low,,0,7,485,49,0,0,0,NULL
44,20171028,0,1,fb,foul,high,,0,19,273,85,0,0,0,NULL
44,20171103,1,4,hq,miss,med,,0,16,276,149,0,0,0,8
45,20170925,0,1,hq,miss,low,,0,4,98,254,160,203,80.2808,8
45,20171007,0,2,hq,oreb,high,,0,20,483,50,0,0,0,NULL
45,20171028,1,1,hq,to,NULL,,0,14,0,0,0,0,0,NULL
45,20171103,1,2,hq,miss,med,,0,16,310,272,0,0,0,8
46,20170925,1,0,hq,to,NULL,,0,16,0,0,0,0,0,NULL
46,20171007,0,1,fb,miss,high,,0,20,278,84,0,0,0,NULL
46,20171028,0,1,fb,make,high,,0,20,282,79,0,0,0,NULL
46,20171103,1,6,hq,miss,low,,0,11,54,216,0,0,0,20
47,20170925,1,4,hq,to,NULL,,0,13,0,0,0,0,0,NULL
47,20171007,0,2,hq,to,NULL,,0,13,0,0,0,0,0,NULL
47,20171028,0,1,hq,miss,med,,0,16,484,53,0,0,0,NULL
47,20171103,1,3,hq,to,NULL,,0,19,0,0,0,0,0,NULL
48,20170925,0,0,hq,to,NULL,,0,7,0,0,0,0,0,NULL
48,20171007,0,2,hq,foul,med,,0,12,403,267,0,0,0,NULL
48,20171028,1,0,hq,make,low,,0,16,474,164,0,0,0,NULL
48,20171103,0,0,fb,oreb,med,,0,15,268,75,0,0,0,8
49,20170925,0,1,fb,miss,high,,0,21,268,73,263,62,12.083,8
49,20171007,0,2,hq,miss,none,,0,12,477,167,0,0,0,NULL
49,20171028,0,2,hq,to,NULL,,0,14,0,0,0,0,0,NULL
49,20171103,1,2,hq,miss,med,,0,14,101,258,0,0,0,6
50,20170925,0,9,hq,miss,med,,0,15,377,269,353,228,47.5079,7
50,20171007,1,1,hq,miss,high,,0,16,280,73,0,0,0,NULL
50,20171028,1,3,hq,miss,med,,0,10,446,226,0,0,0,NULL
50,20171103,1,4,hq,oreb,low,,0,8,87,207,0,0,0,8
51,20170925,0,5,hq,make,high,,0,12,231,69,236,57,13,21
51,20171007,0,4,hq,make,med,,0,10,284,73,0,0,0,NULL
51,20171028,0,3,hq,to,NULL,,0,3,0,0,0,0,0,NULL
51,20171103,0,3,fb,oreb,high,,0,15,454,204,0,0,0,11
52,20170925,1,0,hq,miss,high,,0,18,247,70,253,65,7.81025,9
52,20171007,0,0,hq,miss,high,,0,18,252,79,0,0,0,NULL
52,20171028,0,0,fb,miss,med,,0,15,275,99,0,0,0,NULL
52,20171103,0,4,oreb,miss,high,,0,2,274,78,0,0,0,6
53,20170925,0,1,hq,make,med,,0,11,253,79,248,70,10.2956,8
53,20171007,0,1,fb,miss,high,,0,22,269,81,0,0,0,NULL
53,20171028,1,1,hq,miss,high,,0,15,292,82,0,0,0,NULL
53,20171103,0,0,fb,to,NULL,,0,21,0,0,0,0,0,NULL
54,20170925,0,1,hq,miss,high,,0,20,268,73,259,65,12.0416,8
54,20171007,0,6,hq,oreb,high,,0,9,279,69,0,0,0,NULL
54,20171028,1,1,hq,make,low,,0,17,279,85,0,0,0,NULL
54,20171103,1,8,hq,miss,low,,0,9,461,187,0,0,0,11
55,20170925,0,1,hq,to,NULL,,0,20,0,0,0,0,0,NULL
55,20171007,0,4,hq,to,NULL,,0,8,0,0,0,0,0,NULL
